ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0
2MASXJ03210436+4057169,1237661083199471975,50.2683354725255,40.954715723196,3634,301,5,110,GALAXY,17.36153,15.59079,14.84395,14.45333,14.20152
UGC02672,1237661083199406555,50.0216265369255,40.9062377938816,3634,301,5,109,GALAXY,15.96455,14.41313,13.81621,13.51733,13.29578
IC0310,1237661083199078708,49.1790722793694,41.3248987088024,3634,301,5,104,GALAXY,14.35196,12.74387,11.87541,11.44127,11.21593
2MASXJ03165120+4115212,1237661083199079644,49.2134396761816,41.2557676931527,3634,301,5,104,GALAXY,17.09637,15.58011,14.88778,14.58808,14.38498
2MASXJ03220261+4158250,1237661056355598369,50.5108666964564,41.9734820646661,3628,301,3,105,GALAXY,16.69617,14.8114,14.01774,13.61547,13.37701
UGC02621,1237661083199013263,49.1088148900083,41.5303693353522,3634,301,5,103,GALAXY,15.73885,13.94551,13.12065,12.66274,12.42317
CGCG540-074,1237661055281529331,49.114658177171,41.6270222128251,3628,301,1,100,GALAXY,15.94297,14.21735,13.43586,13.07164,12.78835
2MASXJ03224602+4149587,1237661056355664912,50.6918648395904,41.8330893777518,3628,301,3,106,GALAXY,16.97467,15.31454,14.57062,14.23341,13.97253
2MFGC02775,1237661059574596348,50.7209368105173,41.2300502887534,3629,301,1,71,GALAXY,16.85591,15.24877,14.42943,13.95774,13.68341
2MASXJ03214287+4202509,1237661056355533240,50.4285451347038,42.0475495483548,3628,301,3,104,GALAXY,18.29032,16.67437,15.94902,15.59625,15.38179
2MASXJ03163712+4147215,1237661055281529139,49.1546377565528,41.7892652322225,3628,301,1,100,GALAXY,17.59591,15.86744,15.06699,14.69003,14.41607
2MASXJ03210025+4208327,1237661056355467624,50.2509863640551,42.1422681104701,3628,301,3,103,GALAXY,16.91996,15.08751,14.2917,13.92188,13.65502
SDSSJ032051.44+420956.3,1237661056355467464,50.2143340647746,42.1656500611878,3628,301,3,103,GALAXY,17.57465,16.85829,16.67155,16.62265,16.56407
2MASXJ03222930+4103009,1237661055282118661,50.6220686154622,41.0500356977583,3628,301,1,109,STAR,15.42661,14.38237,14.03812,14.00466,14.04098
UGC02642,1237670960021111167,49.4792323678701,40.9262135500799,5934,301,2,224,GALAXY,16.75697,15.19145,14.47938,14.16338,13.97597
2MASXJ03214217+4205549,1237661056355533977,50.4257847567011,42.0984227598338,3628,301,3,104,GALAXY,17.17246,15.58163,14.84301,14.49816,14.23313
2MASXJ03232697+4124235,1237661055818924562,50.8623243977083,41.4064480701822,3628,301,2,108,GALAXY,16.57812,14.91435,14.10087,13.75563,13.52844
2MASXJ03224672+4156285,1237661056355598960,50.694593423561,41.9412303752567,3628,301,3,105,GALAXY,18.14423,16.18459,15.57623,15.25496,15.06851
LCSBS0531P,1237670457511182781,49.7058490978063,40.8275889383988,5817,301,2,243,GALAXY,16.89658,15.23059,14.50588,14.16878,13.91569
2MASXJ03162705+4110487,1237670458048118944,49.1126584465539,41.1802159339561,5817,301,3,244,GALAXY,17.01832,15.42979,14.75286,14.41581,14.21176
2MASXJ03175285+4053504,1237670960021111003,49.4702754916784,40.897244391608,5934,301,2,224,GALAXY,18.23166,16.49068,15.75462,15.41188,15.13348
IC0308,1237661121850966452,49.0659914258902,41.18073918031,3643,301,5,61,GALAXY,16.01266,14.09975,13.28007,12.85433,12.6261
2MASXJ03225058+4101397,1237661059574661957,50.710845685495,41.0278399172547,3629,301,1,72,GALAXY,18.28169,16.60917,15.8959,15.54932,15.32183
UGC02686,1237661083199472526,50.2556036510522,40.7977786843694,3634,301,5,110,GALAXY,16.18814,14.31944,13.48847,13.10121,12.8321
2MASXJ03155331+4119242,1237661121850901466,48.9721335388567,41.3233065334498,3643,301,5,60,GALAXY,18.05631,16.43283,15.64907,15.29235,15.04908
2MASXJ03163444+4102506,1237670458048054248,49.1435614970491,41.0474722328389,5817,301,3,243,GALAXY,16.29451,15.00914,14.45038,14.22784,14.05227
2MASXJ03174508+4210522,1237661055818335115,49.437703120115,42.1810083421939,3628,301,2,99,GALAXY,16.86819,15.05648,14.24549,13.83596,13.53744
UGC02664,1237670959484240218,49.8753252736857,40.7422778396187,5934,301,1,224,GALAXY,23.75371,20.4662,19.92362,19.74017,20.07551
UGC02698,1237661083199537710,50.5120808948145,40.8639246271485,3634,301,5,111,GALAXY,15.38034,13.50124,12.59419,12.16095,11.92852
2MASXJ03235754+4131183,1237661060111467225,50.9899069389105,41.5218425723484,3629,301,2,71,GALAXY,17.11659,15.73577,14.96309,14.75125,14.86442
2MASXJ03155773+4112572,1237661121850966116,48.9905810046475,41.2159730173904,3643,301,5,61,GALAXY,16.47212,15.13577,13.92654,13.51869,13.55817
2MASSJ03220520+4210089,1237661060648075675,50.522662643402,42.1701699644625,3629,301,3,67,GALAXY,17.15275,15.7351,14.98455,14.69877,14.67141
2MASXJ03235662+4138173,1237661060111467604,50.985720568035,41.6383223170086,3629,301,2,71,GALAXY,17.79845,16.05003,15.27563,14.93215,14.71336
