ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
SDSSJ012320.94+333903.9,1237678893352420491,20.8372840531865,33.6510890847249,7781,301,3,69,GALAXY,23.44153,22.28245,20.43637,19.50167,19.060589999999998,0.514737,SPEC
2MASSJ01240798+3252035,1237666214078120425,21.0331968165286,32.8677408404236,4829,301,2,161,GALAXY,22.04048,20.02309,18.39477,17.82994,17.49126,0.27076500000000003,SPEC
WHLJ012349.0+333922,1237678893352485186,20.954112469092603,33.656116688333,7781,301,3,70,GALAXY,21.53993,19.498920000000002,17.90608,17.350920000000002,16.93265,0.2524,SPEC
[WH2015]0095,1237678893352485186,20.954112469092603,33.656116688333,7781,301,3,70,GALAXY,21.53993,19.498920000000002,17.90608,17.350920000000002,16.93265,0.252,SPEC
2MASXJ01234898+3339222,1237678893352485186,20.954112469092603,33.656116688333,7781,301,3,70,GALAXY,21.53993,19.498920000000002,17.90608,17.350920000000002,16.93265,0.25560900000000003,SPEC
SDSSJ012420.87+325246.3,1237666214078120446,21.0869685637364,32.8795447762315,4829,301,2,161,GALAXY,23.41068,21.53012,20.07701,19.50621,19.15899,0.271816,SPEC
SDSSJ012149.10+332239.6,1237678892815483589,20.454627459900802,33.3776812382305,7781,301,2,68,GALAXY,23.499679999999998,22.60967,21.307570000000002,20.13265,19.67784,0.663076,SPEC
2MASXJ01221732+3332433,1237666214615253447,20.5722589632283,33.5453604549377,4829,301,3,165,GALAXY,21.38609,18.94329,17.36619,16.769679999999997,16.40269,0.25404899999999997,SPEC
SDSSJ012235.69+325439.3,1237666214614991194,20.6487331439597,32.9109242396608,4829,301,3,161,GALAXY,24.80636,22.16734,20.82121,19.77131,19.42823,0.593019,SPEC
SDSSJ012247.87+333734.6,1237666214615319143,20.699464829565102,33.626301390406,4829,301,3,166,GALAXY,24.479210000000002,20.81699,19.117829999999998,18.43705,18.006829999999997,0.274451,SPEC
2MASXJ01230849+3339122,1237666214615318926,20.785551664506897,33.6535040371603,4829,301,3,166,GALAXY,21.41645,19.521729999999998,18.04177,17.44396,17.052120000000002,0.253619,SPEC
WHLJ012308.5+333913,1237666214615318926,20.785551664506897,33.6535040371603,4829,301,3,166,GALAXY,21.41645,19.521729999999998,18.04177,17.44396,17.052120000000002,0.2536,SPEC
SDSSJ012234.63+333600.8,1237666214615254209,20.6442974401362,33.6002398181274,4829,301,3,165,GALAXY,23.01551,21.03858,19.32774,18.68419,18.30949,0.345065,SPEC
2MASSJ01231811+3250545,1237678892278743314,20.825492171276604,32.8485123828142,7781,301,1,70,GALAXY,21.134929999999997,18.79587,17.31716,16.303829999999998,15.67818,6.6e-05,SPEC
2MASXJ01235369+3250321,1237666214078120189,20.9738096839687,32.8422088072149,4829,301,2,161,GALAXY,20.39248,18.65243,17.46924,16.8652,16.35765,0.1249,SPEC
2MASXJ01253645+3321225,1237678806920462565,21.401736823714103,33.356269418143,7761,301,2,134,GALAXY,19.61465,17.96312,16.94716,16.480729999999998,16.10054,0.08480900000000001,SPEC
SDSSJ012410.72+333942.8,1237678893352550944,21.0446774780495,33.6619098746297,7781,301,3,71,GALAXY,24.945870000000003,22.45918,20.77238,19.64275,19.12729,0.586017,SPEC
2MASSJ01254014+3317219,1237678806920462743,21.4170252579307,33.2894715833035,7761,301,2,134,GALAXY,21.61913,19.8731,18.35906,17.747339999999998,17.405910000000002,0.272926,SPEC
WHLJ012540.1+331722,1237678806920462743,21.4170252579307,33.2894715833035,7761,301,2,134,GALAXY,21.61913,19.8731,18.35906,17.747339999999998,17.405910000000002,0.2729,SPEC
SDSSJ012140.50+331853.5,1237678892815483506,20.4187888069292,33.3148816549367,7781,301,2,68,GALAXY,23.73796,21.28451,19.45378,18.50364,18.19295,0.463021,SPEC
