objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift
1237665566618484828,241.143166317361,14.9310904579458,4678,301,4,263,GALAXY,19.161,17.31037,16.64975,16.28763,16.0924,0.01567089
1237665567145721987,219.052027891838,21.8638312832316,4678,301,5,116,GALAXY,17.0064,15.71366,15.03891,14.69536,14.42911,0.01770529
1237665567154569517,239.464961635844,15.8443893033933,4678,301,5,251,GALAXY,19.2784,17.58667,16.97889,16.67718,16.47801,0.01557942
1237665567155421590,241.32709476349,15.166318212184,4678,301,5,264,GALAXY,17.84159,16.14821,15.40038,15.03612,14.77983,0.0160129
1237668625704485109,203.488914638031,17.7139851580605,5390,301,6,195,GALAXY,18.40149,16.40853,15.6954,15.37373,15.20814,0.01583675
1237655347818397807,238.881327997839,47.6773441029718,2299,301,2,276,GALAXY,19.19432,17.56355,16.88298,16.56264,16.34359,0.01832484
1237658206122999911,188.039684855039,51.0390880230917,2964,301,6,335,GALAXY,18.35582,16.42134,15.74729,15.37432,15.04962,0.0179892
1237658206123982879,191.670630807259,51.0393368743691,2964,301,6,350,GALAXY,17.41429,15.94927,15.14934,14.76463,14.41527,0.01577906
1237661416596046002,189.79227691831,56.6712915171484,3712,301,2,106,GALAXY,17.50876,16.00715,15.26746,14.88897,14.58911,0.01574884
1237668332574343543,242.066972480706,10.1086772204444,5322,301,4,216,GALAXY,18.13573,16.62977,15.9779,15.64412,15.38426,0.01571612
1237668336860725798,241.110248291015,14.7570620566036,5323,301,4,85,GALAXY,17.86869,16.31525,15.54165,15.1548,14.83125,0.01737614
1237668336860791015,241.110527477617,14.7221764556053,5323,301,4,86,GALAXY,19.08278,17.4703,16.76042,16.42944,16.18328,0.0155356
1237648722833178812,161.344744158962,1.12438795329666,756,301,6,304,GALAXY,17.64629,16.37695,15.78589,15.47476,15.13671,0.01640346
1237658203986657414,223.636446419247,42.3854425487333,2964,301,2,505,GALAXY,17.84023,16.11442,15.37555,15.01275,14.73466,0.01845371
1237658204499411196,145.997067375255,42.6328671500725,2964,301,3,137,GALAXY,17.92891,16.46726,15.75726,15.38693,15.09273,0.01838154
1237663917339771056,119.237397885005,52.6669289963886,4294,301,4,91,GALAXY,17.49501,15.84281,15.121,14.75446,14.4969,0.01860435
1237665570364588084,243.940079335509,54.6712077112605,4679,301,3,80,GALAXY,19.10558,17.5282,16.80924,16.46133,16.29132,0.01723362
1237659132214378734,233.06624495546,43.6293426377169,3180,301,3,168,GALAXY,18.09357,16.62018,15.92247,15.57469,15.31425,0.01834725
1237659132751118572,232.941328774598,44.1081202746765,3180,301,4,166,GALAXY,18.93712,17.51566,16.89122,16.58273,16.41681,0.01844991
1237659132751577349,234.027937469254,43.407286032653,3180,301,4,173,GALAXY,18.89029,17.34746,16.69127,16.37022,16.16939,0.01746326
1237662307799400583,213.38969611573,39.8849321866302,3919,301,6,70,GALAXY,17.23796,15.69456,15.0029,14.59951,14.28494,0.01849816
1237665329857953877,199.976475250121,31.2349606410703,4623,301,3,256,GALAXY,17.98276,16.32596,15.71479,15.40846,15.17985,0.01853696
1237665330395218003,201.139450236371,31.6715149070076,4623,301,4,262,GALAXY,17.42743,15.99276,15.43932,15.15976,14.92594,0.01566409
1237668271365750941,212.277886264617,17.4884937416382,5308,301,2,135,GALAXY,18.85438,17.29142,16.59797,16.28074,16.05898,0.01643841
1237668271365750997,212.293826550065,17.2915784957526,5308,301,2,135,GALAXY,18.47176,16.97262,16.28484,15.9254,15.67416,0.01685431
