ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,Redshift,RedshiftFlag
2MASXJ03171317+4139032,1237661055281594509,49.3050585513371,41.6509542592923,3628,301,1,101,GALAXY,17.55408,15.487279999999998,14.46013,13.967479999999998,13.568,0.0206,
2MASXJ03195440+4200526,1237661060111074117,49.9764795137487,42.014665764662205,3629,301,2,65,GALAXY,17.570339999999998,15.530170000000002,14.49802,13.94546,13.48396,0.015594,
IC0316NED01,1237661060111204890,50.3331335317799,41.9289843520376,3629,301,2,67,GALAXY,17.301289999999998,15.40288,14.56775,14.113370000000002,13.779110000000001,0.009613,
2MASXJ03184727+4158500,1237661055818465917,49.6969855176877,41.9806120414406,3628,301,2,101,GALAXY,17.81126,15.99666,15.10452,14.66641,14.30272,0.017493,SPEC
IC0316,1237661060111204887,50.332964556229705,41.931858431072605,3629,301,2,67,GALAXY,16.47138,15.00329,14.261610000000001,13.840160000000001,13.427610000000001,0.009987000000000001,
IC0316NED02,1237661060111204887,50.332964556229705,41.931858431072605,3629,301,2,67,GALAXY,16.47138,15.00329,14.261610000000001,13.840160000000001,13.427610000000001,0.010057,
2MASXJ03175803+4154021,1237661059574137084,49.4917084123824,41.900498595405104,3629,301,1,64,GALAXY,17.778470000000002,15.82143,14.910620000000002,14.44789,14.08959,0.026057999999999998,
CGCG540-079,1237661055281594503,49.2651755689975,41.6336005137056,3628,301,1,101,GALAXY,18.335829999999998,16.18885,15.119320000000002,14.494589999999999,14.080370000000002,0.024137,
2MASXJ03183928+4159489,1237661055818465750,49.663774382667796,41.9971068173717,3628,301,2,101,GALAXY,18.05612,16.1123,15.17438,14.68529,14.33027,0.026979000000000003,
2MASXJ03170202+4137582,1237661055281594523,49.2583291008547,41.6329482606507,3628,301,1,101,GALAXY,20.49909,18.53687,17.48449,17.02047,16.74934,0.012394,SPEC
