ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
WHLJ010934.2+330301,1237680316595176040,17.3923437036589,33.050284724717194,8112,301,6,38,GALAXY,21.84122,21.110139999999998,19.4205,18.53078,18.19501,0.4624,SPEC
SDSSJ010737.47+313747.0,1237680310698639919,16.906155014760802,31.629729197997698,8111,301,3,176,GALAXY,25.15515,22.258229999999998,20.71136,19.576929999999997,19.34037,0.545415,SPEC
SDSSJ010457.29+330007.9,1237680312308925390,16.2387287120109,33.0022158478421,8111,301,6,171,GALAXY,25.58178,22.84753,21.31415,19.96348,19.39413,0.70615,SPEC
SDSSJ010551.51+314200.4,1237680310698443474,16.4646551508561,31.700125212842604,8111,301,3,173,GALAXY,26.00311,21.75331,19.97545,19.144470000000002,18.71756,0.498461,SPEC
SDSSJ010631.83+313858.4,1237680310698509044,16.6326608856849,31.6495791467312,8111,301,3,174,GALAXY,24.74731,21.6434,19.89424,18.764879999999998,18.325979999999998,0.565842,SPEC
WHLJ010631.8+313858,1237680310698509044,16.6326608856849,31.6495791467312,8111,301,3,174,GALAXY,24.74731,21.6434,19.89424,18.764879999999998,18.325979999999998,0.5657,SPEC
2MASXJ01040869+3202229,1237680311235182738,16.036119802931598,32.0396665436381,8111,301,4,171,GALAXY,18.84897,17.005779999999998,16.07921,15.68931,15.369720000000001,0.107096,SPEC
2MASXJ01042232+3252048,1237680312308859194,16.0931532984657,32.868066651071,8111,301,6,170,GALAXY,18.32921,16.91718,16.12681,15.675310000000001,15.37611,0.983159,SPEC
CGCG501-073,1237680312308924718,16.192322882509902,32.967337847871,8111,301,6,171,GALAXY,16.61192,15.36196,14.700289999999999,14.388710000000001,14.11401,0.013675999999999999,
SDSSJ010932.25+330355.0,1237680316595176022,17.3843768058789,33.0652896226164,8112,301,6,38,GALAXY,25.08507,21.75161,20.07955,19.09534,19.10969,0.462577,SPEC
SDSSJ010940.75+314658.1,1237680314984629144,17.419839372365598,31.782810336905698,8112,301,3,39,GALAXY,23.51516,22.51701,21.147579999999998,19.812829999999998,19.3703,0.7119310000000001,SPEC
WHLJ011052.0+320609,1237680315521630315,17.716471929138102,32.102603746050896,8112,301,4,41,GALAXY,18.56363,16.67324,15.655070000000002,15.23143,14.858260000000001,0.1108,SPEC
SDSSJ010942.74+330227.9,1237680316595176393,17.4281230017655,33.0411059709496,8112,301,6,38,GALAXY,22.906579999999998,21.9271,19.95712,19.14001,18.577820000000003,0.465272,SPEC
SDSSJ010724.38+313708.3,1237680310698574640,16.851602910173302,31.6189772339401,8111,301,3,175,GALAXY,22.34901,21.33071,19.856679999999997,18.95901,18.518,0.518271,SPEC
2MASXJ01110647+3234442,1237680316058435999,17.7768365679779,32.5789972014002,8112,301,5,40,GALAXY,21.33493,18.62733,17.36662,16.86763,16.56031,0.18133,SPEC
SDSSJ010811.00+313759.5,1237680310698705401,17.0458471749496,31.6332110898533,8111,301,3,177,GALAXY,22.82357,22.521520000000002,20.614520000000002,19.640610000000002,19.24793,0.64968,SPEC
2MASXJ01105613+3207402,1237680315521630342,17.7338211281102,32.128052182233404,8112,301,4,41,GALAXY,19.09473,17.219179999999998,16.29895,15.902270000000001,15.571520000000001,0.11076300000000001,SPEC
2MASXJ01043208+3153487,1237680314984169666,16.133611493359698,31.896984003937998,8112,301,3,32,GALAXY,20.468770000000003,18.85551,17.46771,16.98145,16.65819,0.220221,SPEC
SDSSJ010337.91+322106.8,1237680478735958853,15.9079848641928,32.351900543808306,8150,301,4,126,GALAXY,23.10246,21.79056,20.27005,19.46274,19.03448,0.472308,SPEC
2MASXJ01060477+3139467,1237680310698508455,16.5199996201192,31.6628818656471,8111,301,3,174,GALAXY,20.03568,18.156029999999998,17.10023,16.62601,16.25881,0.119808,SPEC
SDSSJ011020.50+325537.6,1237680312309449474,17.5854364585333,32.9271287969413,8111,301,6,179,GALAXY,22.48007,23.70039,20.71347,19.58006,19.22206,0.664407,SPEC
SDSSJ010648.49+313707.5,1237680310698573844,16.7020705054632,31.6187630118117,8111,301,3,175,GALAXY,24.725360000000002,23.39796,22.15024,20.32343,19.84145,0.6762199999999999,SPEC
SDSSJ010455.63+330140.4,1237680312308925384,16.2318188384571,33.0279135722858,8111,301,6,171,GALAXY,22.26175,22.3589,20.478939999999998,19.32987,18.547710000000002,0.712327,SPEC
SDSSJ010721.65+331316.1,1237678892277301952,16.8402442187643,33.221149313154896,7781,301,1,48,GALAXY,22.06211,21.991770000000002,20.05796,19.18246,18.928739999999998,0.527083,SPEC
2MASXJ01041654+3156418,1237680314984104196,16.068907931637,31.944972130356604,8112,301,3,31,GALAXY,19.53134,17.75808,16.75593,16.31331,15.914810000000001,0.10700599999999999,SPEC
SDSSJ010902.12+314024.8,1237680310698771091,17.2588425991589,31.6735739700106,8111,301,3,178,GALAXY,24.33697,22.37359,21.15488,20.17676,19.62716,0.5646399999999999,SPEC
SDSSJ010453.82+314746.0,1237680314984170200,16.2242588589385,31.7961165673442,8112,301,3,32,GALAXY,22.05225,21.96218,20.53813,19.60393,19.095029999999998,0.491497,SPEC
SDSSJ010649.85+313614.4,1237680310698574313,16.7077319947108,31.604011133364896,8111,301,3,175,GALAXY,22.11603,21.32779,19.37981,18.69875,18.32001,0.40218899999999996,SPEC
SDSSJ010942.29+330429.2,1237680316595176108,17.426233935968,33.074804944580194,8112,301,6,38,GALAXY,25.23122,21.878420000000002,20.63778,19.761,19.209979999999998,0.44570200000000004,SPEC
