No.	|	Object Name	|	RA	|	DEC	|	Type	|	Velocity	|	Redshift	|	Redshift Flag	|	Magnitude and Filter	|	Separation	|	References	|	Notes	|	Photometry Points	|	Positions	|	Redshift Points	|	Diameter Points	|	Associations
65	|	LCSB S0532P	|	 49.74154 	|	  41.63506 	|	G	|	  4089	|	 0.013638 	|	SPEC	|	17.3 	|	 11.954	|	5	|	0	|	18	|	4	|	2	|	2	|	0
66	|	2MASX J03204218+4124145	|	 50.17575 	|	  41.40400 	|	G	|	  3669	|	 0.012238 	|	    	|	16.5:	|	 12.008	|	10	|	1	|	19	|	4	|	3	|	2	|	0
67	|	NGC 1267	|	 49.68717 	|	  41.46772 	|	G	|	  5059	|	 0.016875 	|	    	|	15.4 	|	 12.133	|	44	|	5	|	31	|	13	|	9	|	6	|	0
68	|	2MASX J03184738+4125421	|	 49.69746 	|	  41.42839 	|	G	|	  5986	|	 0.019967 	|	    	|	16.7 	|	 12.433	|	6	|	0	|	15	|	4	|	2	|	2	|	0
69	|	2MASX J03195296+4118082	|	 49.97071 	|	  41.30233 	|	G	|	  3627	|	 0.012100 	|	    	|	14.7 	|	 12.594	|	16	|	1	|	25	|	5	|	3	|	2	|	0
70	|	2MASX J03205074+4136015	|	 50.21133 	|	  41.60042 	|	G	|	  5306	|	 0.017700 	|	    	|	15.5:	|	 12.857	|	19	|	1	|	24	|	7	|	7	|	2	|	0
71	|	2MASX J03185112+4123321	|	 49.71296 	|	  41.39228 	|	G	|	  6185	|	 0.020630 	|	SPEC	|	17.5 	|	 12.869	|	2	|	0	|	17	|	3	|	1	|	2	|	0
72	|	2MASX J03205776+4130229	|	 50.24082 	|	  41.50638 	|	G	|	  4965	|	 0.016561 	|	    	|	15.33	|	 13.041	|	16	|	0	|	16	|	4	|	3	|	2	|	1
73	|	2MASX J03205658+4126205	|	 50.23575 	|	  41.43892 	|	G	|	  6027	|	 0.020104 	|	SPEC	|	     	|	 13.539	|	1	|	0	|	15	|	2	|	1	|	2	|	0
74	|	CGCG 540-089	|	 49.64983 	|	  41.47722 	|	G	|	  3342	|	 0.011148 	|	    	|	15.7 	|	 13.677	|	18	|	0	|	16	|	4	|	1	|	2	|	0
75	|	2MASX J03210041+4133449	|	 50.25174 	|	  41.56247 	|	G	|	  4821	|	 0.016081 	|	    	|	15.1:	|	 13.860	|	16	|	1	|	15	|	6	|	5	|	2	|	1
76	|	2MASX J03194454+4116411	|	 49.93563 	|	  41.27808 	|	G	|	  5398	|	 0.018006 	|	    	|	15.3 	|	 14.033	|	16	|	0	|	20	|	3	|	3	|	3	|	0
77	|	2MASX J03204928+4122145	|	 50.20542 	|	  41.37069 	|	G	|	  4950	|	 0.016511 	|	    	|	15.6:	|	 14.243	|	19	|	1	|	23	|	7	|	5	|	2	|	0
78	|	2MASX J03201328+4117122	|	 50.05533 	|	  41.28681 	|	G	|	  7077	|	 0.023606 	|	    	|	17.3:	|	 14.292	|	6	|	1	|	23	|	6	|	2	|	2	|	0
79	|	2MASX J03210424+4133199	|	 50.26767 	|	  41.55558 	|	G	|	  4540	|	 0.015144 	|	    	|	16.8 	|	 14.479	|	4	|	0	|	23	|	3	|	0	|	2	|	0
80	|	2MASX J03210142+4126039	|	 50.25583 	|	  41.43444 	|	G	|	  4001	|	 0.013347 	|	SPEC	|	     	|	 14.481	|	1	|	0	|	15	|	3	|	2	|	2	|	1
81	|	2MASX J03194676+4116132	|	 49.94488 	|	  41.27036 	|	G	|	  4576	|	 0.015265 	|	SPEC	|	17.1 	|	 14.482	|	2	|	0	|	15	|	2	|	1	|	2	|	0
82	|	2MASX J03185824+4142091	|	 49.74275 	|	  41.70247 	|	G	|	  4247	|	 0.014166 	|	    	|	15.8:	|	 14.766	|	20	|	1	|	23	|	7	|	6	|	2	|	0
83	|	2MASX J03210223+4124339	|	 50.25929 	|	  41.40944 	|	G	|	  4975	|	 0.016595 	|	    	|	16.1:	|	 15.173	|	13	|	1	|	23	|	5	|	4	|	2	|	0
84	|	2MFGC 02743	|	 50.13742 	|	  41.73233 	|	G	|	  7314	|	 0.024397 	|	    	|	16.9:	|	 15.666	|	5	|	1	|	23	|	4	|	1	|	2	|	0
85	|	UGC 02673	|	 50.00688 	|	  41.25117 	|	G	|	  4434	|	 0.014790 	|	    	|	14.6 	|	 15.835	|	33	|	2	|	28	|	10	|	7	|	6	|	0
86	|	2MASX J03183887+4140080	|	 49.66204 	|	  41.66892 	|	G	|	  4319	|	 0.014407 	|	    	|	16.6:	|	 16.023	|	8	|	1	|	27	|	6	|	3	|	2	|	0
87	|	2MFGC 02715	|	 49.64737 	|	  41.66700 	|	G	|	  7650	|	 0.025518 	|	    	|	15.9:	|	 16.495	|	10	|	1	|	29	|	5	|	2	|	2	|	0
88	|	2MASX J03182094+4127487	|	 49.58704 	|	  41.46353 	|	G	|	  4933	|	 0.016455 	|	    	|	15.92	|	 16.597	|	15	|	0	|	15	|	2	|	1	|	2	|	0
89	|	2MASX J03181889+4128097	|	 49.57875 	|	  41.46931 	|	G	|	  3544	|	 0.011821 	|	    	|	16.1 	|	 16.908	|	16	|	1	|	21	|	6	|	7	|	3	|	0
90	|	2MASX J03203209+4145305	|	 50.13342 	|	  41.75861 	|	G	|	  5012	|	 0.016718 	|	    	|	16.7:	|	 16.930	|	8	|	1	|	19	|	3	|	3	|	2	|	0
91	|	CGCG 540-087	|	 49.59363 	|	  41.40969 	|	G	|	  6468	|	 0.021575 	|	    	|	15.3 	|	 17.181	|	31	|	1	|	31	|	12	|	10	|	2	|	0
92	|	2MASX J03204603+4144055	|	 50.19171 	|	  41.73492 	|	G	|	  5359	|	 0.017876 	|	    	|	16.8 	|	 17.212	|	7	|	1	|	19	|	3	|	1	|	2	|	0
93	|	CGCG 540-113	|	 50.33675 	|	  41.46003 	|	G	|	  4411	|	 0.014714 	|	    	|	15.1 	|	 17.628	|	20	|	0	|	25	|	9	|	7	|	2	|	0
94	|	2MASX J03190434+4113581	|	 49.76804 	|	  41.23283 	|	G	|	  5481	|	 0.018283 	|	    	|	17.67	|	 18.643	|	7	|	0	|	15	|	2	|	2	|	2	|	0
95	|	2MASX J03212883+4132129	|	 50.37004 	|	  41.53694 	|	G	|	  5944	|	 0.019827 	|	    	|	16.1 	|	 18.899	|	11	|	1	|	23	|	3	|	1	|	2	|	0
96	|	2MASX J03182768+4119167	|	 49.61525 	|	  41.32131 	|	G	|	  5632	|	 0.018787 	|	SPEC	|	     	|	 18.928	|	1	|	0	|	18	|	3	|	1	|	2	|	0
97	|	2MASX J03203393+4113185	|	 50.14146 	|	  41.22178 	|	G	|	  6819	|	 0.022747 	|	SPEC	|	18.0 	|	 19.401	|	2	|	0	|	15	|	2	|	1	|	2	|	0
