Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag
 SDSS J012533.31+331511.7     ,21.38879,33.25325, *      ,-80,-0.000268, SPEC          
 SDSS J012532.26+331210.0     ,21.38443,33.2028, G      ,148267,0.494566, SPEC          
 SDSS J012518.88+332659.6     ,21.32868,33.44991, G      ,117592,0.392246, SPEC          
 SDSS J012532.50+331141.0     ,21.38545,33.19474, QSO    ,880116,2.93575, SPEC          
 SDSS J012455.26+325725.6     ,21.23025,32.95714, *      ,-117,-0.000389, SPEC          
 SDSS J012504.16+333133.6     ,21.26737,33.52602, G      ,165637,0.552507, SPEC          
 2MASX J01224309+3336112      ,20.67971,33.60322, G      ,74784,0.249451, SPEC          
 WHL J012243.1+333612         ,20.67974,33.6033, GClstr ,74798,0.2495, SPEC          
 SDSS J012212.18+325957.3     ,20.55077,32.99925, *      ,1047,0.003493, SPEC          
 2MASS J01223792+3255118      ,20.65798,32.91998, UvS    ,-101,-0.000338, SPEC          
 SDSS J012320.94+333903.9     ,20.83729,33.65108, G      ,154314,0.514737, SPEC          
 2MASS J01240798+3252035      ,21.0332,32.86774, G      ,81173,0.270765, SPEC          
 SDSS J012200.19+332723.1     ,20.50083,33.45642, QSO    ,531619,1.773291, SPEC          
 WHL J012349.0+333922         ,20.95411,33.65612, GClstr ,75668,0.2524, SPEC          
 [WH2015] 0095                ,20.95411,33.65612, GClstr ,75548,0.252, SPEC          
 RM J012349.0+333922.0        ,20.95411,33.65612, GClstr ,77728,0.259271, PHOT          
 2MASX J01234898+3339222      ,20.95404,33.65614, G      ,76630,0.255609, SPEC          
 SDSS J012420.87+325246.3     ,21.08698,32.87955, G      ,81488,0.271816, SPEC          
 SDSS J012149.10+332239.6     ,20.45462,33.37769, G      ,198785,0.663076, SPEC          
 2MASX J01221732+3332433      ,20.57225,33.54536, G      ,76162,0.254049, SPEC          
 SDSS J012235.69+325439.3     ,20.64874,32.91093, G      ,177783,0.593019, SPEC          
 SDSS J012247.87+333734.6     ,20.69947,33.6263, G      ,82278,0.274451, SPEC          
 2MASX J01230849+3339122      ,20.78546,33.65347, G      ,76033,0.253619, SPEC          
 WHL J012308.5+333913         ,20.78555,33.6535, GClstr ,76027,0.2536, SPEC          
 SDSS J012234.63+333600.8     ,20.64429,33.60023, G      ,103448,0.345065, SPEC          
 2MASS J01231811+3250545      ,20.82521,32.84849, *      ,20,0.000066, SPEC          
 2MASX J01235369+3250321      ,20.97371,32.84225, G      ,37444,0.1249, SPEC          
 2MASX J01253645+3321225      ,21.40183,33.35633, G      ,25425,0.084809, SPEC          
 SDSS J012410.72+333942.8     ,21.04467,33.6619, G      ,175684,0.586017, SPEC          
 SDSS J012442.46+325350.7     ,21.17693,32.89743, QSO    ,655169,2.185408, SPEC          
 2MASS J01254014+3317219      ,21.41702,33.28947, G      ,81821,0.272926, SPEC          
 WHL J012540.1+331722         ,21.41702,33.28947, GClstr ,81813,0.2729, SPEC          
 SDSS J012140.50+331853.5     ,20.41878,33.31489, G      ,138810,0.463021, SPEC          
 RM J012140.5+331853.6        ,20.41878,33.31489, GClstr ,132296,0.441292, PHOT          
 SDSS J012140.33+331903.6     ,20.41806,33.31767, G      ,139037,0.463778, SPEC          
 2MASS J01232054+3250255      ,20.83554,32.84036, G      ,76112,0.253883, SPEC          
 SDSS J012538.91+331044.3     ,21.41215,33.17899, G      ,169685,0.566009, SPEC          
 SDSS J012302.78+333928.9     ,20.76159,33.65805, QSO    ,895149,2.985896, SPEC          
 SDSS J012447.27+333627.8     ,21.19697,33.60772, G      ,110370,0.368153, SPEC          
 2MASS J01241344+3250466      ,21.05589,32.84663, G      ,82313,0.274566, SPEC          
 SDSS J012137.57+331601.1     ,20.40657,33.26698, G      ,137083,0.457258, SPEC          
 2MASX J01220092+3330343      ,20.50375,33.5097, G      ,5184,0.017292,               
 2MASS J01230531+3340091      ,20.77211,33.66919, G      ,84099,0.280525, SPEC          
 2MASS J01252772+3327597      ,21.36566,33.46649, G      ,110274,0.367834, SPEC          
 SDSS J012405.98+325006.3     ,21.02493,32.83525, UvS    ,82129,0.273953, SPEC          
 WHL J012135.5+331602         ,20.39791,33.26735, GClstr ,137095,0.4573, SPEC          
 SDSS J012421.32+325044.7     ,21.08887,32.84577, G      ,82230,0.274291, SPEC          
 SDSS J012258.97+325035.3     ,20.74571,32.84316, G      ,135120,0.450711, SPEC          
 SDSS J012427.62+325104.5     ,21.11509,32.85128, G      ,80869,0.269749, SPEC          
 2MASS J01245967+3255046      ,21.24847,32.91794, G      ,81609,0.272219, SPEC          
 SDSS J012338.83+334143.8     ,20.91182,33.6955, G      ,155519,0.518757, SPEC          
 SDSS J012203.56+333231.1     ,20.51485,33.54198, G      ,132823,0.44305, SPEC          
 SDSS J012341.55+324855.9     ,20.92315,32.81555, *      ,-165,-0.000551, SPEC          
 SDSS J012219.56+325450.8     ,20.58171,32.91433, UvS    ,165759,0.552911, SPEC          
 SDSS J012449.48+325307.7     ,21.2062,32.88548, QSO    ,893290,2.979694, SPEC          
 SDSS J012232.02+333758.6     ,20.63366,33.6324, UvS    ,104347,0.348063, SPEC          
 2MASS J01220844+3256417      ,20.53515,32.94498, UvS    ,-98,-0.000328, SPEC          
 2MASX J01243617+3251204      ,21.15071,32.85575, G      ,32677,0.109,               
 NGC 0483                     ,20.48458,33.52097, G      ,4666,0.015564,               
 SDSS J012410.05+324913.9     ,21.04189,32.82055, G      ,84180,0.280794, SPEC          
 SDSS J012357.33+334204.5     ,20.9889,33.70127, G      ,132602,0.442313, SPEC          
 SDSS J012151.45+333007.5     ,20.46439,33.50209, G      ,101998,0.340229, SPEC          
 SDSS J012549.43+331612.9     ,21.45598,33.27027, G      ,101768,0.339462, SPEC          
 SDSS J012421.18+324940.4     ,21.08825,32.82791, G      ,81306,0.271207, SPEC          
 SDSS J012532.67+332857.6     ,21.38613,33.48268, G      ,104810,0.349608, SPEC          
 SDSS J012550.24+331330.7     ,21.45929,33.22542, UvS    ,646972,2.158066, SPEC          
 SDSS J012414.56+334142.6     ,21.06069,33.69532, VisS   ,105699,0.352575, SPEC          
 2MASX J01254263+3305165      ,21.42781,33.08779, G      ,4301,0.014347,               
 SDSS J012141.46+332750.9     ,20.42278,33.46416, G      ,128868,0.429858, SPEC          
 SDSS J012536.12+332847.7     ,21.40052,33.47994, G      ,161851,0.539876, SPEC          
 SDSS J012210.59+325452.9     ,20.54414,32.91471, *      ,-183,-0.000609, SPEC          
 SDSS J012337.63+334308.7     ,20.90682,33.7191, G      ,165918,0.553443, SPEC          
 SDSS J012549.38+332147.2     ,21.45576,33.36312, G      ,120207,0.400967, SPEC          
 SDSS J012436.87+325013.9     ,21.15364,32.8372, G      ,82579,0.275455, SPEC          
 SDSS J012320.01+324742.9     ,20.83341,32.79525, G      ,200378,0.668388, SPEC          
 IC 1679                      ,20.43583,33.49361, G      ,5310,0.017712,               
 WHL J012425.7+324858         ,21.10716,32.81613, GClstr ,79865,0.2664,               
 2MASX J01242569+3248575      ,21.10717,32.81606, G      ,82510,0.275224, SPEC          
 SDSS J012125.60+331704.0     ,20.3567,33.28446, G      ,137274,0.457897, SPEC          
 SDSS J012407.94+324743.0     ,21.03309,32.79528, QSO    ,617983,2.061369, SPEC          
 SDSS J012151.53+325827.7     ,20.46472,32.97438, G      ,185888,0.620055, SPEC          
 2MASS J01225886+3248194      ,20.7454,32.80554, G      ,76226,0.254262, SPEC          
 SDSS J012537.93+332927.9     ,21.40807,33.4911, G      ,86633,0.288976, SPEC          
 SDSS J012131.78+332455.4     ,20.38246,33.4154, G      ,131895,0.439953, SPEC          
 SDSS J012212.32+325334.8     ,20.55165,32.89358, UvS    ,-380,-0.001268, SPEC          
 SDSS J012141.46+330122.7     ,20.42263,33.02295, UvS    ,6,0.00002, SPEC          
 SDSS J012239.91+324948.1     ,20.66632,32.83006, *      ,13,0.000043, SPEC          
 SDSS J012217.42+325236.9     ,20.57258,32.87692, G      ,148754,0.496189, SPEC          
 SDSS J012530.36+333234.5     ,21.37652,33.54292, G      ,149321,0.498081, SPEC          
 SDSS J012251.18+334219.7     ,20.71328,33.70547, G      ,128427,0.428385, SPEC          
