ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
NGC1294,1237661059574530102,50.4165799185563,41.3605740486041,3629,301,1,70,GALAXY,15.94115,13.99317,12.93441,12.40119,12.03702
2MASXJ03191458+4108291,1237661083199275736,49.8107663401083,41.1414672837447,3634,301,5,107,GALAXY,16.86396,14.76952,13.80956,13.28485,12.97863
2MASXJ03190715+4108330,1237661083199275747,49.7798434181445,41.1426340275538,3634,301,5,107,GALAXY,17.14604,15.79552,15.09235,14.69085,14.37277
IC0312,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.42122,13.38063,12.83557,12.36342
SDSSJ031808.40+414515.6,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.42122,13.38063,12.83557,12.36342
SDSSJ031808.40+414515.7,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,16.50292,14.42122,13.38063,12.83557,12.36342
2MASXJ03180070+4117567,1237661083199144680,49.5028172967404,41.2990947945633,3634,301,5,105,GALAXY,18.74473,16.929,16.04459,15.6189,15.27001
2MASXJ03215746+4133080,1237661055818794217,50.4895205204611,41.5521931394185,3628,301,2,106,GALAXY,18.39936,16.33034,15.33722,14.83679,14.44889
2MASSJ03181307+4148087,1237661059574137359,49.5545783767666,41.8025113829006,3629,301,1,64,GALAXY,19.73304,17.99345,17.2414,16.94586,16.56523
2MASXJ03180647+4147567,1237661059574138014,49.5269787347295,41.7991761645029,3629,301,1,64,GALAXY,18.90078,16.86861,15.88448,15.40553,15.01613
2MASXJ03173200+4124425,1237661083199143991,49.3832701530376,41.4116825064411,3634,301,5,105,GALAXY,17.89847,15.71767,14.68251,14.27693,13.93757
2MASXJ03191203+4105211,1237661083199275626,49.8001129048394,41.0892324939727,3634,301,5,107,GALAXY,17.30429,15.23023,14.28128,13.72355,13.30586
2MASXJ03172790+4129165,1237661055281659994,49.3661256858314,41.4880812811743,3628,301,1,102,GALAXY,17.1757,15.12318,14.14312,13.65345,13.28454
