ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
2MASSJ01232054+3250255,1237678892278743516,20.8355483740414,32.8403532712534,7781,301,1,70,GALAXY,23.02825,20.40573,18.83435,18.19106,17.75398
SDSSJ012538.91+331044.3,1237678892815811329,21.4121525979048,33.1789937245767,7781,301,2,73,GALAXY,23.88679,22.85927,21.19742,20.13361,19.66181
SDSSJ012302.78+333928.9,1237666214615318928,20.7615835690242,33.658051439779,4829,301,3,166,STAR,21.55002,20.45727,20.32072,20.27269,20.08077
SDSSJ012447.27+333627.8,1237666214078448104,21.1969692035696,33.607722377393,4829,301,2,166,GALAXY,22.554,20.71025,18.98676,18.38037,18.02592
2MASSJ01241344+3250466,1237666214078120415,21.0558828207283,32.8466304413405,4829,301,2,161,GALAXY,25.04397,19.81317,18.19749,17.60715,17.22614
SDSSJ012137.57+331601.1,1237678892815418570,20.4065657304575,33.266992077795,7781,301,2,67,GALAXY,26.27207,21.61045,19.61809,18.75059,18.23792
2MASXJ01220092+3330343,1237678806920134678,20.5037681664087,33.5096853113521,7761,301,2,129,GALAXY,17.48323,15.48229,14.67791,14.30771,14.07615
2MASSJ01230531+3340091,1237666214615319093,20.7721086546711,33.6691937908631,4829,301,3,166,GALAXY,22.02328,19.94547,18.38309,17.77028,17.36176
2MASSJ01252772+3327597,1237678806920462844,21.3656552536835,33.4664942495335,7761,301,2,134,GALAXY,23.34003,20.78586,18.83393,18.16523,17.71923
SDSSJ012405.98+325006.3,1237666214078120409,21.0249421068385,32.8350842922915,4829,301,2,161,GALAXY,22.77734,20.11491,18.67729,18.09662,17.67783
WHLJ012135.5+331602,1237678892815418529,20.3979117653986,33.2673537333769,7781,301,2,67,GALAXY,23.4738,21.1579,19.35683,18.61255,18.15091
SDSSJ012421.32+325044.7,1237666214078120027,21.0888634781359,32.8457633548093,4829,301,2,161,GALAXY,24.31676,21.28295,19.67591,19.03502,18.74285
SDSSJ012258.97+325035.3,1237678892278743639,20.7457170695189,32.843156284744,7781,301,1,70,GALAXY,23.1634,22.18549,20.2827,19.43334,19.0601
SDSSJ012427.62+325104.5,1237666214078120822,21.1150851276206,32.8512735018874,4829,301,2,161,GALAXY,23.48156,21.6601,20.11057,19.47781,19.015
2MASSJ01245967+3255046,1237678806383526250,21.2484698688372,32.9179377654305,7761,301,1,133,GALAXY,21.28902,19.73569,18.13897,17.5201,17.10235
SDSSJ012338.83+334143.8,1237678893352485629,20.9118239569783,33.695500699721,7781,301,3,70,GALAXY,24.72566,21.9542,20.27108,19.17816,18.57005
SDSSJ012203.56+333231.1,1237678806920135249,20.5148483264431,33.5419799475701,7761,301,2,129,GALAXY,23.9843,21.61,19.65901,18.85145,18.60231
SDSSJ012341.55+324855.9,1237666214078054885,20.9231367769767,32.8154436561768,4829,301,2,160,STAR,20.00142,18.88433,18.44601,18.21687,18.1235
SDSSJ012219.56+325450.8,1237666214614991602,20.5815082449394,32.9141339388336,4829,301,3,161,GALAXY,22.44835,21.74537,20.48366,19.65744,19.22508
SDSSJ012449.48+325307.7,1237678806383526465,21.2062003947867,32.8854774587927,7761,301,1,133,STAR,22.42877,21.6434,21.54304,21.45168,20.91268
2MASSJ01220844+3256417,1237666214614991016,20.5352084694106,32.9449311849151,4829,301,3,161,STAR,17.95444,16.90761,16.53058,16.37434,16.30267
2MASXJ01243617+3251204,1237666214078120234,21.1505738035825,32.8557991805621,4829,301,2,161,GALAXY,18.18394,17.24307,16.81855,16.40923,16.30453
NGC0483,1237678806920134672,20.4846336399425,33.5210177554212,7761,301,2,129,GALAXY,15.80832,13.81668,12.9235,12.47022,12.16882
SDSSJ012410.05+324913.9,1237666214078120638,21.0418870044853,32.8205538594405,4829,301,2,161,GALAXY,23.70988,21.63588,20.04878,19.45573,19.07178
SDSSJ012357.33+334204.5,1237678893352485885,20.9889043135326,33.7012589584248,7781,301,3,70,GALAXY,22.34547,21.14952,19.23381,18.43364,17.93323
SDSSJ012151.45+333007.5,1237678806920135167,20.4643871509073,33.5020914249351,7761,301,2,129,GALAXY,25.77165,20.84559,18.96245,18.37418,17.99014
SDSSJ012549.43+331612.9,1237678806920463135,21.455985028343,33.2702754258627,7761,301,2,134,GALAXY,22.72085,20.93474,19.18758,18.54421,18.32477
SDSSJ012421.18+324940.4,1237666214078120004,21.0882446885135,32.8279094749657,4829,301,2,161,GALAXY,24.46388,21.16815,19.5389,18.95566,18.51157
