ObjectName,RA,DEC,Redshift,RedshiftFlag
2MASSJ03215637+4117540,50.48488,41.29842,0.016341,SPEC
MCG+07-07-048,49.37198,41.37581,0.021500,
2MASXJ03194584+4158352,49.94108,41.97644,0.016241,
2MASXJ03173289+4117495,49.38704,41.29703,0.019467,
2MASXJ03221922+4126439,50.58017,41.44547,0.020204,
2MASXJ03171766+4125172,49.32367,41.42147,0.020834,SPEC
2MASXJ03215149+4147500,50.46454,41.79725,0.019503,
2MASSJ03212427+4108088,50.35129,41.13592,0.020584,SPEC
2MASXJ03190350+4158269,49.76463,41.97417,0.015394,
UGC02656,49.68121,41.07252,0.018303,
NGC1259,49.32200,41.38549,0.019400,
2MASXJ03171358+4126082,49.30667,41.43556,0.016948,
2MASXJ03222447+4128469,50.60191,41.47986,0.018463,
2MASXJ03220983+4143389,50.54104,41.72744,0.013886,SPEC
2MASXJ03171317+4139032,49.30496,41.65094,0.020600,
2MASXJ03195440+4200526,49.97662,42.01464,0.015594,
IC0316NED01,50.33313,41.92894,0.009613,
2MASXJ03184727+4158500,49.69700,41.98058,0.017493,SPEC
IC0316,50.33292,41.93056,0.009987,
IC0316NED02,50.33292,41.93192,0.010057,
2MASXJ03175803+4154021,49.49175,41.90056,0.026058,
CGCG540-079,49.26512,41.63364,0.024137,
2MASXJ03183928+4159489,49.66375,41.99703,0.026979,
2MASXJ03170202+4137582,49.25842,41.63286,0.012394,SPEC
2MASXJ03183683+4101090,49.65354,41.01919,0.015416,SPEC
UGC02626,49.24892,41.35653,0.021208,
2MASXJ03222170+4114299,50.59046,41.24164,0.012830,SPEC
LCSBS0541P,50.33917,41.02450,0.018190,SPEC
2MASXJ03202564+4204137,50.10688,42.07042,0.015649,SPEC
UGC02639,49.46012,41.96758,0.013453,
2MASXJ03172721+4155002,49.36342,41.91667,0.017556,SPEC
2MASXJ03221984+4108529,50.58279,41.14806,0.016548,SPEC
2MASXJ03210436+4057169,50.26829,40.95475,0.014914,SPEC
UGC02672,50.02146,40.90617,0.014333,
IC0310,49.17907,41.32497,0.018940,
2MASXJ03165120+4115212,49.21337,41.25589,0.005554,
2MASXJ03220261+4158250,50.51092,41.97356,0.019363,
UGC02621,49.10892,41.53042,0.015834,
CGCG540-074,49.11467,41.62708,0.016575,
2MASXJ03224602+4149587,50.69183,41.83306,0.015762,SPEC
2MFGC02775,50.72075,41.22992,0.023343,
2MASXJ03214287+4202509,50.42850,42.04772,0.018213,SPEC
