ObjectName,objID,ra,dec,run,rerun,camcol,field,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
SDSSJ010607.66+313310.0,1.23768E+18,16.53192907,31.55280144,8111,301,3,174,STAR,21.96317,21.48384,21.56745,21.5162,21.76023
SDSSJ010414.42+330111.4,1.23768E+18,16.06012237,33.01985513,8111,301,6,170,STAR,22.86406,22.12565,22.04239,21.87301,21.78466
SDSSJ010505.20+331016.1,1.23768E+18,16.2716796,33.17114629,8112,301,6,32,GALAXY,21.41103,22.33479,20.45853,19.58465,19.15082
SDSSJ011134.51+321211.8,1.23768E+18,17.89380535,32.20328757,8112,301,4,41,GALAXY,22.16196,21.60024,20.3438,19.39395,19.23897
SDSSJ010310.55+321727.8,1.23768E+18,15.79396899,32.2910664,8150,301,4,126,STAR,23.49596,21.00031,20.86265,21.08585,21.03609
[HLX2013]J011038.58+314915.5,1.23768E+18,17.66078871,31.82098744,8112,301,3,40,STAR,20.02536,19.65532,19.14758,19.16037,18.6435
SDSSJ010312.36+323503.2,1.23768E+18,15.80151714,32.58422789,8111,301,5,169,GALAXY,23.16981,22.61746,20.98236,19.86127,19.53217
SDSSJ011117.94+320200.1,1.23768E+18,17.82476865,32.03336183,8111,301,4,181,STAR,24.57513,21.94172,21.54483,22.01132,20.91444
SDSSJ010508.46+313846.2,1.23768E+18,16.28527979,31.64618169,8111,301,3,172,GALAXY,24.56031,22.12259,20.79895,19.91657,19.33157
SDSSJ010509.59+313835.5,1.23768E+18,16.28996568,31.6432164,8111,301,3,172,GALAXY,23.23248,22.03915,20.44777,19.1368,18.89491
UGC00657,1.23768E+18,15.99576012,32.96311337,8111,301,6,170,GALAXY,17.04507,15.78867,15.204,14.93864,14.79608
SDSSJ011051.50+325751.6,1.23768E+18,17.71457913,32.9643362,8112,301,6,40,STAR,24.90286,20.92224,20.52714,20.3372,20.49735
2MASXJ01090656+3134297,1.23768E+18,17.27747714,31.57509252,8111,301,3,178,GALAXY,19.51226,17.59479,16.54033,16.10312,15.72436
SDSSJ011118.13+324848.8,1.23768E+18,17.82555085,32.81357662,8111,301,6,180,GALAXY,24.5099,23.05652,21.41705,19.97458,19.41367
SDSSJ010728.16+313004.3,1.23768E+18,16.86737614,31.50120094,8112,301,2,36,GALAXY,23.61823,22.42641,20.76442,19.85977,19.5425
SDSSJ011143.23+322004.9,1.23768E+18,17.9301583,32.33470269,8111,301,5,181,STAR,19.69364,18.7006,18.37009,18.22618,18.21842
2MASXJ01060065+3316337,1.23768E+18,16.50273876,33.27602041,7781,301,1,46,GALAXY,19.79906,17.40398,16.30855,15.81067,15.44568
SDSSJ010536.15+313506.0,1.23768E+18,16.40063416,31.58501081,8111,301,3,173,GALAXY,21.75832,21.93314,20.06585,19.11612,18.68625
SDSSJ011001.69+314111.9,1.23768E+18,17.50704707,31.68664795,8112,301,3,40,GALAXY,26.64124,23.0743,21.72926,20.13714,19.58582
SDSSJ010707.20+331930.3,1.23768E+18,16.78001702,33.32509755,7781,301,1,47,GALAXY,24.16423,24.18307,21.38879,19.85507,19.60537
MCXCJ0105.1+3311,1.23768E+18,16.27909832,33.18980229,8112,301,6,32,GALAXY,17.69223,15.83413,14.77689,14.28039,13.93762
IC1614,1.23768E+18,16.27909832,33.18980229,8112,301,6,32,GALAXY,17.69223,15.83413,14.77689,14.28039,13.93762
SDSSJ010417.71+314641.2,1.23768E+18,16.07383467,31.7781211,8111,301,3,171,GALAXY,25.65427,21.86298,20.29093,19.36872,18.87589
SDSSJ010429.93+330548.5,1.23768E+18,16.12474356,33.0968262,8150,301,6,127,STAR,26.35757,21.89327,21.20656,20.95727,20.94597
SDSSJ010303.83+322312.3,1.23768E+18,15.76597173,32.38677588,8150,301,4,126,GALAXY,23.30813,22.3784,20.79995,19.65732,19.24075
SDSSJ010442.97+314135.1,1.23768E+18,16.17907948,31.69309522,8111,301,3,172,GALAXY,25.4584,22.73004,20.74457,19.76106,19.18442
