ObjectName,objID,ra,dec,run,rerun,camcol,field,type,u0,g0,r0,i0,z0,Redshift,RedshiftFlag
2MASXJ03213127+4132509,1237661055818793134,50.3802762291804,41.547453628995,3628,301,2,106,GALAXY,18.122989999999998,16.528370000000002,15.81606,15.48296,15.247320000000002,0.012881,SPEC
2MASXJ03181800+4140307,1237661059574202928,49.5750012535279,41.6753256017887,3629,301,1,65,GALAXY,16.56126,15.19389,14.513379999999998,14.20984,13.96522,0.016171,
2MASXiJ0318058+413452,1237661055281661215,49.5244020176062,41.5813582967438,3628,301,1,102,GALAXY,18.38949,16.61264,15.82296,15.488489999999999,15.25165,0.019193,SPEC
2MASXJ03200718+4149583,1237670960021569639,50.030128209702504,41.8328072039197,5934,301,2,231,GALAXY,16.143420000000003,14.3951,13.585679999999998,13.19958,12.955630000000001,0.014143000000000001,
CGCG540-115,1237661055818793331,50.3925238237887,41.506161375992896,3628,301,2,106,GALAXY,16.223470000000002,14.4491,13.55323,13.10834,12.70712,0.023469999999999998,
2MASXJ03185439+4148111,1237661055818531427,49.7268858670535,41.80303853957471,3628,301,2,102,GALAXY,17.72101,15.824129999999998,15.016670000000001,14.62716,14.359879999999999,0.014887000000000001,
2MASXJ03183170+4116259,1237661083199210512,49.631956125936,41.2740581745265,3634,301,5,106,GALAXY,16.90108,15.17058,14.38916,14.02152,13.74784,0.017741999999999997,
NGC1264,1237661055281660332,49.4981574474131,41.520368860724794,3628,301,1,102,GALAXY,15.756260000000001,13.91285,13.092410000000001,12.71128,12.42718,0.010827,
2MASXJ03195520+4110212,1237661055281857673,49.9798978192562,41.1726324626266,3628,301,1,105,GALAXY,18.43122,16.80076,16.08822,15.78234,15.56224,0.01635,SPEC
2MASXJ03180178+4135337,1237661055281660253,49.507330861447,41.5926931130778,3628,301,1,102,GALAXY,17.253420000000002,15.59745,14.672039999999999,14.20587,13.92296,0.0141,
2MASXJ03175762+4129496,1237661055281660630,49.4898628881974,41.4973067699498,3628,301,1,102,GALAXY,16.75231,14.984670000000001,14.211870000000001,13.844660000000001,13.588989999999999,0.015813999999999998,
NGC1293,1237661059574530101,50.4019434490639,41.392811859839796,3629,301,1,70,GALAXY,15.61761,13.685039999999999,12.82134,12.42881,12.20722,0.013919999999999998,
2MASXJ03182297+4116077,1237661083199209781,49.595755000385296,41.268898838047704,3634,301,5,106,GALAXY,17.37276,15.59036,14.86687,14.533470000000001,14.275910000000001,0.0133,
2MASXJ03210882+4115109,1237661059574530716,50.2869381042702,41.2530385707562,3629,301,1,70,GALAXY,17.459039999999998,15.73044,14.95595,14.59489,14.336210000000001,0.015858,
2MASXJ03181640+4144057,1237661059574202785,49.568545187759,41.734902368592,3629,301,1,65,GALAXY,16.461,14.57925,13.717629999999998,13.31055,13.02459,0.022299,
2MASXJ03193592+4109041,1237661083199340713,49.8996627481046,41.15115035315971,3634,301,5,108,GALAXY,16.50113,14.70956,13.91515,13.51224,13.209929999999998,0.019517,
CGCG540-085,1237661055281660551,49.46283966926471,41.45082072367,3628,301,1,102,GALAXY,15.84707,14.039270000000002,13.218820000000001,12.798060000000001,12.48895,0.014577000000000001,
2MASSJ03213780+4121280,1237661059574530116,50.4075544227028,41.3578114672719,3629,301,1,70,GALAXY,18.93113,16.94886,16.13287,15.773660000000001,15.49474,0.021546,SPEC
NGC1294,1237661059574530102,50.4165799185563,41.3605740486041,3629,301,1,70,GALAXY,15.0923,13.3686,12.48141,12.05769,11.79348,0.021965000000000002,
2MASXJ03191458+4108291,1237661083199275736,49.8107663401083,41.1414672837447,3634,301,5,107,GALAXY,15.998270000000002,14.13256,13.347579999999999,12.93455,12.730260000000001,0.026862,
2MASXJ03190715+4108330,1237661083199275747,49.7798434181445,41.1426340275538,3634,301,5,107,GALAXY,16.23947,15.128470000000002,14.60855,14.324000000000002,14.112670000000001,0.026349,SPEC
IC0312,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.122069999999999,0.016605,
SDSSJ031808.40+414515.6,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.122069999999999,0.016498,SPEC
SDSSJ031808.40+414515.7,1237661059574202508,49.5350273429563,41.7543521558146,3629,301,1,65,GALAXY,15.66172,13.80228,12.93172,12.49517,12.122069999999999,0.016422,SPEC
2MASXJ03180070+4117567,1237661083199144680,49.502817296740396,41.299094794563295,3634,301,5,105,GALAXY,17.88618,16.297279999999997,15.58642,15.271479999999999,15.02369,0.01404,SPEC
2MASXJ03215746+4133080,1237661055818794217,50.4895205204611,41.5521931394185,3628,301,2,106,GALAXY,17.48064,15.65435,14.84694,14.46502,14.185310000000001,0.01939,
2MASSJ03181307+4148087,1237661059574137359,49.55457837676661,41.8025113829006,3629,301,1,64,GALAXY,18.89761,17.37875,16.795560000000002,16.6078,16.32554,0.016127000000000002,SPEC
2MASXJ03180647+4147567,1237661059574138014,49.5269787347295,41.799176164502896,3629,301,1,64,GALAXY,18.078110000000002,16.263289999999998,15.44546,15.072629999999998,14.7801,0.026657999999999998,SPEC
2MASXJ03173200+4124425,1237661083199143991,49.38327015303761,41.4116825064411,3634,301,5,105,GALAXY,17.0763,15.112729999999999,14.24376,13.944239999999999,13.70169,0.01987,
2MASXJ03191203+4105211,1237661083199275626,49.8001129048394,41.0892324939727,3634,301,5,107,GALAXY,16.473760000000002,14.61914,13.83806,13.38747,13.06757,0.017041999999999998,
2MASXJ03172790+4129165,1237661055281659994,49.36612568583139,41.488081281174296,3628,301,1,102,GALAXY,16.34678,14.51327,13.70076,13.318029999999998,13.04672,0.0156,
IC0313,1237661060111204787,50.2412948262008,41.893850362728294,3629,301,2,67,GALAXY,16.1946,14.110510000000001,13.193029999999998,12.67585,12.33273,0.014784,
2MASXJ03181953+4151218,1237661059574137345,49.5813214451,41.8559828361365,3629,301,1,64,GALAXY,17.62475,15.786679999999999,14.979239999999999,14.625910000000001,14.346079999999999,0.02833,
2MASXJ03220908+4127029,1237661055818858633,50.5378202470075,41.450777418286,3628,301,2,107,GALAXY,17.34352,15.5276,14.739889999999999,14.3782,14.11476,0.0202,
2MASXJ03172788+4136465,1237661055281595012,49.3662782084635,41.6130051417239,3628,301,1,101,GALAXY,16.50854,14.4952,13.568610000000001,13.119760000000001,12.85206,0.020464,
2MASXJ03190609+4104571,1237661083199275630,49.77534935257071,41.082545874735,3634,301,5,107,GALAXY,16.54427,14.596739999999999,13.70249,13.319189999999999,13.057080000000001,0.027989,
NGC1265,1237661059574137336,49.5651933081503,41.857709011357,3629,301,1,64,GALAXY,23.80197,24.50169,17.86826,17.858060000000002,15.697729999999998,0.025137,
NGC1260,1237661083199079030,49.36344083944671,41.405188931729,3634,301,5,104,GALAXY,15.38435,13.34104,12.55889,12.18876,11.90483,0.019190000000000002,
2MASSJ03215637+4117540,1237661059574531029,50.4849246057506,41.2983642792742,3629,301,1,70,GALAXY,18.38344,16.633960000000002,15.910429999999998,15.62137,15.397920000000001,0.016341,SPEC
MCG+07-07-048,1237661083199143980,49.3714379671369,41.3755139354642,3634,301,5,105,GALAXY,16.09433,14.41988,13.67898,13.40671,13.12849,0.0215,
2MASXJ03194584+4158352,1237661060111074083,49.9410884069404,41.9764093262535,3629,301,2,65,GALAXY,16.59431,14.766379999999998,13.945429999999998,13.56215,13.24864,0.016241,
2MASXJ03173289+4117495,1237661083199144302,49.3869972160436,41.2969890446872,3634,301,5,105,GALAXY,16.89509,15.111820000000002,14.330829999999999,13.984079999999999,13.71584,0.019466999999999998,
2MASXJ03221922+4126439,1237661055818858862,50.580227081671,41.4454066361421,3628,301,2,107,GALAXY,17.36082,15.5328,14.72665,14.34021,14.046779999999998,0.020204,
2MASXJ03171766+4125172,1237661083199079603,49.3236841370695,41.4214466732543,3634,301,5,104,GALAXY,17.463639999999998,15.781720000000002,15.01874,14.65037,14.395129999999998,0.020834000000000002,SPEC
2MASXJ03215149+4147500,1237661060111270442,50.46455213249121,41.797250846622,3629,301,2,68,GALAXY,17.30629,15.36263,14.43779,13.96349,13.63161,0.019503,
2MASSJ03212427+4108088,1237661055281988793,50.3513890519603,41.1358669689464,3628,301,1,107,GALAXY,18.11308,16.649160000000002,15.91991,15.613970000000002,15.399970000000001,0.020584,SPEC
2MASXJ03190350+4158269,1237661055818531808,49.7646076986198,41.9741404379117,3628,301,2,102,GALAXY,17.12452,15.30243,14.502579999999998,14.109060000000001,13.86077,0.015394,
UGC02656,1237661083199275476,49.681228371121904,41.0724997398026,3634,301,5,107,GALAXY,16.14338,14.297170000000001,13.46715,13.03698,12.76008,0.018303,
NGC1259,1237661083199079031,49.3219483148068,41.3854210818072,3634,301,5,104,GALAXY,15.980479999999998,14.19459,13.34026,13.027330000000001,12.68948,0.0194,
2MASXJ03171358+4126082,1237661083199078963,49.3067191833777,41.435505219133,3634,301,5,104,GALAXY,16.85237,15.17261,14.40645,14.05892,13.821420000000002,0.016947999999999998,
2MASXJ03222447+4128469,1237661055818858761,50.6019037072527,41.479853223212295,3628,301,2,107,GALAXY,16.25258,14.43813,13.64091,13.21596,12.9076,0.018463,
2MASXJ03220983+4143389,1237661060111336458,50.5410992146467,41.72734509180871,3629,301,2,69,GALAXY,16.933320000000002,15.148810000000001,14.38732,14.068760000000001,13.80485,0.013886,SPEC
2MASXJ03171317+4139032,1237661055281594509,49.3050585513371,41.6509542592923,3628,301,1,101,GALAXY,16.7075,14.864379999999999,14.00836,13.62491,13.32511,0.0206,
2MASXJ03195440+4200526,1237661060111074117,49.9764795137487,42.014665764662205,3629,301,2,65,GALAXY,16.65437,14.85621,14.009210000000001,13.574810000000001,13.221160000000001,0.015594,
IC0316NED01,1237661060111204890,50.3331335317799,41.9289843520376,3629,301,2,67,GALAXY,16.34607,14.70004,14.05799,13.72683,13.50505,0.009613,
2MASXJ03184727+4158500,1237661055818465917,49.6969855176877,41.9806120414406,3628,301,2,101,GALAXY,16.984939999999998,15.38866,14.66355,14.33204,14.06565,0.017493,SPEC
IC0316,1237661060111204887,50.332964556229705,41.931858431072605,3629,301,2,67,GALAXY,15.51614,14.30044,13.75184,13.45362,13.15355,0.009987000000000001,
IC0316NED02,1237661060111204887,50.332964556229705,41.931858431072605,3629,301,2,67,GALAXY,15.51614,14.30044,13.75184,13.45362,13.15355,0.010057,
2MASXJ03175803+4154021,1237661059574137084,49.4917084123824,41.900498595405104,3629,301,1,64,GALAXY,17.00491,15.25225,14.4978,14.13486,13.86765,0.026057999999999998,
CGCG540-079,1237661055281594503,49.2651755689975,41.6336005137056,3628,301,1,101,GALAXY,17.50686,15.5789,14.67694,14.159139999999999,13.842529999999998,0.024137,
2MASXJ03183928+4159489,1237661055818465750,49.663774382667796,41.9971068173717,3628,301,2,101,GALAXY,17.237479999999998,15.50995,14.7375,14.354020000000002,14.0954,0.026979000000000003,
2MASXJ03170202+4137582,1237661055281594523,49.2583291008547,41.6329482606507,3628,301,1,101,GALAXY,19.6726,17.92875,17.043429999999997,16.686020000000003,16.51221,0.012394,SPEC
2MASXJ03183683+4101090,1237670457511249007,49.65363691462439,41.019211493051706,5817,301,2,244,GALAXY,16.66594,14.957820000000002,14.236579999999998,13.89362,13.657910000000001,0.015416,SPEC
UGC02626,1237661083199078715,49.2490384325056,41.356596998938706,3634,301,5,104,GALAXY,16.15832,14.295470000000002,13.46483,13.07523,12.76113,0.021208,
2MASXJ03222170+4114299,1237661059574595783,50.5904926781996,41.24159488667421,3629,301,1,71,GALAXY,16.68969,14.86449,14.076889999999999,13.72207,13.51498,0.012830000000000001,SPEC
LCSBS0541P,1237661055281988410,50.3391547703146,41.0246258212553,3628,301,1,107,GALAXY,17.58548,15.99665,15.28094,14.95386,14.757079999999998,0.01819,SPEC
2MASXJ03202564+4204137,1237661060111138987,50.106890469953605,42.0703538554828,3629,301,2,66,GALAXY,18.00684,16.3831,15.65455,15.34671,15.09198,0.015649,SPEC
UGC02639,1237661055818400274,49.460023581535,41.9675946575428,3628,301,2,100,GALAXY,16.215770000000003,14.36405,13.550670000000002,13.163770000000001,12.89955,0.013453,
2MASXJ03172721+4155002,1237661059574072500,49.3634825294994,41.9166021596547,3629,301,1,63,GALAXY,17.03349,15.26051,14.47344,14.11335,13.83032,0.017556,SPEC
2MASXJ03221984+4108529,1237661059574596006,50.5828639622029,41.148055853670996,3629,301,1,71,GALAXY,17.4164,15.62605,14.866629999999999,14.530870000000002,14.44653,0.016548,SPEC
2MASXJ03210436+4057169,1237661083199471975,50.2683354725255,40.954715723196,3634,301,5,110,GALAXY,17.36153,15.59079,14.84395,14.45333,14.20152,0.014913999999999998,SPEC
UGC02672,1237661083199406555,50.021626536925496,40.9062377938816,3634,301,5,109,GALAXY,15.96455,14.413129999999999,13.81621,13.51733,13.295779999999999,0.014333000000000002,
IC0310,1237661083199078708,49.1790722793694,41.3248987088024,3634,301,5,104,GALAXY,14.35196,12.74387,11.87541,11.44127,11.21593,0.018940000000000002,
2MASXJ03165120+4115212,1237661083199079644,49.2134396761816,41.255767693152706,3634,301,5,104,GALAXY,17.09637,15.580110000000001,14.88778,14.58808,14.384979999999999,0.005554,
2MASXJ03220261+4158250,1237661056355598369,50.5108666964564,41.9734820646661,3628,301,3,105,GALAXY,16.696170000000002,14.8114,14.01774,13.615470000000002,13.37701,0.019363,
UGC02621,1237661083199013263,49.1088148900083,41.530369335352205,3634,301,5,103,GALAXY,15.73885,13.94551,13.12065,12.66274,12.423169999999999,0.015834,
CGCG540-074,1237661055281529331,49.114658177171,41.6270222128251,3628,301,1,100,GALAXY,15.94297,14.21735,13.43586,13.071639999999999,12.78835,0.016575,
2MASXJ03224602+4149587,1237661056355664912,50.691864839590394,41.8330893777518,3628,301,3,106,GALAXY,16.97467,15.31454,14.570620000000002,14.233410000000001,13.972529999999999,0.015762,SPEC
2MFGC02775,1237661059574596348,50.7209368105173,41.2300502887534,3629,301,1,71,GALAXY,16.85591,15.24877,14.429429999999998,13.95774,13.68341,0.023343,
2MASXJ03214287+4202509,1237661056355533240,50.428545134703796,42.047549548354795,3628,301,3,104,GALAXY,18.29032,16.67437,15.94902,15.59625,15.381789999999999,0.018213,SPEC
2MASXJ03163712+4147215,1237661055281529139,49.1546377565528,41.7892652322225,3628,301,1,100,GALAXY,17.59591,15.86744,15.066989999999999,14.690029999999998,14.416070000000001,0.01788,SPEC
2MASXJ03210025+4208327,1237661056355467624,50.2509863640551,42.1422681104701,3628,301,3,103,GALAXY,16.91996,15.08751,14.2917,13.921879999999998,13.65502,0.018376,
SDSSJ032051.44+420956.3,1237661056355467464,50.2143340647746,42.1656500611878,3628,301,3,103,GALAXY,17.57465,16.85829,16.67155,16.62265,16.56407,0.023077,SPEC
